benchmark,solver,configuration,solver time,status,result,verifier time,verifier result
sat/002-sc2013.cnf.bz2, Relaxed_LCMDistChronoBT_p9, default, 2202.98, complete, SAT-VERIFIED, 0.0107749, --
sat/002-sc2013.cnf.bz2, Relaxed_LCM_Dist, default, 5000.06, timeout (wallclock), UNKNOWN, 0.010864, --
sat/002-sc2013.cnf.bz2, Riss7.1, NOUNSAT_proof, 5000.02, timeout (wallclock), UNKNOWN, 0.0126871, --
sat/002-sc2013.cnf.bz2, Riss7.1, default_proof, 5000.02, timeout (wallclock), UNKNOWN, 0.01015, --
sat/002-sc2013.cnf.bz2, SLIME, default, 5000.01, timeout (wallclock), UNKNOWN, 0.0129371, --
sat/002-sc2013.cnf.bz2, SparrowToMergeSAT, Sparrow2MergeSAT_proof, 1948.37, complete, SAT-VERIFIED, 0.0119701, --
sat/002-sc2013.cnf.bz2, Topk3.2_Glucose3.0, default, 5000.05, timeout (wallclock), UNKNOWN, 0.0112091, --
sat/002-sc2013.cnf.bz2, Topk3_Glucose3.0, default, 5000.03, timeout (wallclock), UNKNOWN, 0.010418, --
sat/002-sc2013.cnf.bz2, Topk6.2_Glucose3.0, default, 5000.09, timeout (wallclock), UNKNOWN, 0.00949192, --
sat/002-sc2013.cnf.bz2, Topk6_Glucose3.0, default, 5000.04, timeout (wallclock), UNKNOWN, 0.0108149, --
sat/002-sc2013.cnf.bz2, ZIB_Glucose, default, 5000.01, timeout (wallclock), UNKNOWN, 0.010114, --
sat/002-sc2013.cnf.bz2, cmsatv56-walksat, default, 1090.06, complete, SAT-VERIFIED, 0.013185, --
sat/002-sc2013.cnf.bz2, cmsatv56-walksat-chronobt, default, 4369.59, complete, SAT-VERIFIED, 0.0148151, --
sat/002-sc2013.cnf.bz2, cmsatv56-yalsat, default, 1118.87, complete, SAT-VERIFIED, 0.00930597, --
sat/002-sc2013.cnf.bz2, cmsatv56-yalsat-chronobt, default, 4437.75, complete, SAT-VERIFIED, 0.0100759, --
sat/002-sc2013.cnf.bz2, expMaple_CM, default, 507.981, complete, SAT-VERIFIED, 0.0121541, --
sat/002-sc2013.cnf.bz2, expMaple_CM _GCBump, default, 1429.69, complete, SAT-VERIFIED, 0.0114719, --
sat/002-sc2013.cnf.bz2, expMaple_CM _GCBumpOnlyLRB, default, 1380.87, complete, SAT-VERIFIED, 0.0105111, --
