input;id_instance;method;k;size;percent;res3700re;time;cut;ite;cover
rtf30-3.txt;75;ptf;3;8;1.0;0;1.5248608589172363;True;11;95
TF-16.tf;76;ptf;3;13;0.9516407599309153;11.0;672.0053999423981;True;263;95
TF-65.tf;77;ptf;3;NA;NA;NA;3700;True;1;95
TF-22.tf;78;ptf;3;NA;NA;NA;3700;True;1;95
cire100-0.txt;79;ptf;3;19;0.95;451.0;30.51742672920227;True;36;95
TF-26.tf;80;ptf;3;10;0.9516407599309153;10.0;60.53891158103943;True;96;95
TF-75.tf;81;ptf;3;NA;NA;NA;3700;True;1;95
TF-32.tf;82;ptf;3;NA;NA;NA;3700;True;1;95
rtf30-2.txt;83;ptf;3;7;1.0;0;0.2132730484008789;True;5;95
scp1000-3.txt;84;ptf;3;67;0.95;149.0;136.16094708442688;True;90;95
TF-90.tf;85;ptf;3;NA;NA;NA;3700;True;1;95
rtf30-1.txt;86;ptf;3;8;1.0;0;0.23357629776000977;True;6;95
TF-25.tf;87;ptf;3;NA;NA;NA;3700;True;1;95
cire150-9.txt;88;ptf;3;27;0.9666666666666667;655.0;41.548898220062256;True;49;95
scp1000-6.txt;89;ptf;3;64;0.95;144.0;76.3804144859314;True;90;95
TF-89.tf;90;ptf;3;NA;NA;NA;3700;True;1;95
cire100-8.txt;91;ptf;3;20;0.95;428.0;11.672313451766968;True;32;95
TF-39.tf;92;ptf;3;NA;NA;NA;3700;True;1;95
TF-67.tf;93;ptf;3;10;0.9516407599309153;9.0;206.33489203453064;True;155;95
TF-69.tf;94;ptf;3;NA;NA;NA;3700;True;1;95
TF-53.tf;95;ptf;3;NA;NA;NA;3700;True;1;95
TF-60.tf;96;ptf;3;NA;NA;NA;3700;True;1;95
TF-71.tf;97;ptf;3;NA;NA;NA;3700;True;1;95
cire100-7.txt;98;ptf;3;23;0.95;485.0;26.594053030014038;True;40;95
cire150-4.txt;99;ptf;3;31;0.9666666666666667;538.0;12.473116636276245;True;37;95
TF-77.tf;100;ptf;3;13;0.9516407599309153;10.0;245.3864529132843;True;187;95
TF-85.tf;101;ptf;3;NA;NA;NA;3700;True;1;95
TF-91.tf;102;ptf;3;NA;NA;NA;3700;True;1;95
cire100-5.txt;103;ptf;3;19;0.95;587.0;15.371232271194458;True;32;95
TF-93.tf;104;ptf;3;NA;NA;NA;3700;True;1;95
TF-47.tf;105;ptf;3;12;0.9516407599309153;11.0;75.46911668777466;True;98;95
scp1000-9.txt;106;ptf;3;68;0.95;166.0;4.74531888961792;True;6;95
TF-79.tf;107;ptf;3;NA;NA;NA;3700;True;1;95
TF-6.tf;108;ptf;3;NA;NA;NA;3700;True;1;95
TF-49.tf;109;ptf;3;12;0.9516407599309153;15.0;80.3262152671814;True;96;95
TF-63.tf;110;ptf;3;11;0.9516407599309153;12.0;819.2620787620544;True;255;95
TF-9.tf;111;ptf;3;NA;NA;NA;3700;True;1;95
TF-94.tf;112;ptf;3;NA;NA;NA;3700;True;1;95
TF-20.tf;113;ptf;3;NA;NA;NA;3700;True;1;95
TF-50.tf;114;ptf;3;11;0.9533678756476683;13.0;205.57101249694824;True;161;95
cire150-8.txt;115;ptf;3;30;0.9666666666666667;506.0;27.528902292251587;True;45;95
TF-1.tf;116;ptf;3;NA;NA;NA;3700;True;1;95
cire100-3.txt;117;ptf;3;20;0.95;483.0;0.6438767910003662;True;21;95
rtf30-8.txt;118;ptf;3;7;1.0;0;0.2314906120300293;True;6;95
TF-5.tf;119;ptf;3;11;0.9516407599309153;11.0;942.5580232143402;True;288;95
TF-17.tf;120;ptf;3;NA;NA;NA;3700;True;1;95
TF-19.tf;121;ptf;3;NA;NA;NA;3700;True;1;95
TF-7.tf;122;ptf;3;NA;NA;NA;3700;True;1;95
rtf30-0.txt;123;ptf;3;7;1.0;0;1.963550090789795;True;10;95
TF-84.tf;124;ptf;3;14;0.9516407599309153;9.0;100.8554334640503;True;107;95
TF-82.tf;125;ptf;3;NA;NA;NA;3700;True;1;95
cire150-0.txt;126;ptf;3;29;0.9666666666666667;544.0;42.995866775512695;True;51;95
cire150-7.txt;127;ptf;3;27;0.9666666666666667;655.0;29.366487979888916;True;45;95
cire150-3.txt;128;ptf;3;29;0.9666666666666667;607.0;23.190927982330322;True;38;95
TF-43.tf;129;ptf;3;NA;NA;NA;3700;True;1;95
TF-68.tf;130;ptf;3;NA;NA;NA;3700;True;1;95
cire100-1.txt;131;ptf;3;23;0.95;475.0;4.3211729526519775;True;24;95
TF-29.tf;132;ptf;3;NA;NA;NA;3700;True;1;95
TF-92.tf;133;ptf;3;NA;NA;NA;3700;True;1;95
cire150-2.txt;134;ptf;3;33;0.9666666666666667;429.0;14.724826335906982;True;41;95
TF-52.tf;135;ptf;3;NA;NA;NA;3700;True;1;95
TF-45.tf;136;ptf;3;NA;NA;NA;3700;True;1;95
TF-34.tf;137;ptf;3;13;0.9516407599309153;10.0;244.20555686950684;True;165;95
TF-72.tf;138;ptf;3;NA;NA;NA;3700;True;1;95
TF-96.tf;139;ptf;3;NA;NA;NA;3700;True;1;95
TF-37.tf;0;ptf;3;NA;NA;NA;3700;False;1;95
TF-70.tf;1;ptf;3;NA;NA;NA;3700;False;1;95
cire100-4.txt;2;ptf;3;NA;NA;NA;3700;False;1;95
rtf30-6.txt;3;ptf;3;NA;NA;NA;3700;False;1;95
TF-15.tf;4;ptf;3;NA;NA;NA;3700;False;1;95
TF-10.tf;5;ptf;3;NA;NA;NA;3700;False;1;95
TF-51.tf;6;ptf;3;NA;NA;NA;3700;False;1;95
TF-54.tf;7;ptf;3;NA;NA;NA;3700;False;1;95
scp1000-1.txt;8;ptf;3;NA;NA;NA;3700;False;1;95
TF-76.tf;9;ptf;3;NA;NA;NA;3700;False;1;95
TF-55.tf;10;ptf;3;NA;NA;NA;3700;False;1;95
TF-8.tf;11;ptf;3;NA;NA;NA;3700;False;1;95
TF-78.tf;12;ptf;3;NA;NA;NA;3700;False;1;95
cire100-9.txt;13;ptf;3;NA;NA;NA;3700;False;1;95
TF-99.tf;14;ptf;3;NA;NA;NA;3700;False;1;95
TF-41.tf;15;ptf;3;NA;NA;NA;3700;False;1;95
TF-2.tf;16;ptf;3;NA;NA;NA;3700;False;1;95
TF-48.tf;17;ptf;3;NA;NA;NA;3700;False;1;95
rtf30-5.txt;18;ptf;3;NA;NA;NA;3700;False;1;95
TF-57.tf;19;ptf;3;NA;NA;NA;3700;False;1;95
TF-81.tf;20;ptf;3;NA;NA;NA;3700;False;1;95
TF-18.tf;21;ptf;3;NA;NA;NA;3700;False;1;95
TF-12.tf;22;ptf;3;NA;NA;NA;3700;False;1;95
TF-21.tf;23;ptf;3;NA;NA;NA;3700;False;1;95
rtf30-7.txt;24;ptf;3;NA;NA;NA;3700;False;1;95
TF-42.tf;25;ptf;3;NA;NA;NA;3700;False;1;95
scp1000-8.txt;26;ptf;3;NA;NA;NA;3700;False;1;95
TF-11.tf;27;ptf;3;NA;NA;NA;3700;False;1;95
TF-33.tf;28;ptf;3;NA;NA;NA;3700;False;1;95
TF-56.tf;29;ptf;3;NA;NA;NA;3700;False;1;95
