input,experiment_ware,cpu_time,Checked answer,Wallclock time,Memory,Solver name,Solver version,timeout,success,user_success,missing,consistent_xp,consistent_input,error,family
XCSP17/Bibd/Bibd-sum-lex/Bibd-sum-09-120-40-03-10.xml,choco-solver 2019-09-16,1366.78,SAT,343.919,15530540.0,choco-solver,2019-09-16,2400.0,True,True,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-lex/Bibd-sum-09-120-40-03-10.xml,BTD 19.07.01,2400.0,UNKNOWN TO,2520.01,109396.0,BTD,19.07.01,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-lex/Bibd-sum-09-120-40-03-10.xml,Fun-sCOP hybrid+CryptoMiniSat (2019-06-15),38.6328,SAT,24.5723,15142500.0,Fun-sCOP,hybrid+CryptoMiniSat (2019-06-15),2400.0,True,True,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-lex/Bibd-sum-09-120-40-03-10.xml,Fun-sCOP order+GlueMiniSat (2019-06-15),48.7532,SAT,35.176,15142500.0,Fun-sCOP,order+GlueMiniSat (2019-06-15),2400.0,True,True,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-lex/Bibd-sum-09-120-40-03-10.xml,VBS,38.6328,SAT,24.5723,15142500.0,Fun-sCOP,hybrid+CryptoMiniSat (2019-06-15),2400.0,True,True,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-22-033-12-08-04.xml,cosoco 2,2400.0,UNKNOWN MO,1392.84,15872532.0,cosoco,2,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-22-033-12-08-04.xml,AbsCon 2019-07-23,2400.0,UNKNOWN TO,2515.41,10748324.0,AbsCon,2019-07-23,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-22-033-12-08-04.xml,PicatSAT 2019-09-12,2400.0,UNKNOWN TO,2520.01,2240920.0,PicatSAT,2019-09-12,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-22-033-12-08-04.xml,choco-solver 2019-09-24,2400.0,UNKNOWN TO,2514.41,15266032.0,choco-solver,2019-09-24,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-22-033-12-08-04.xml,Concrete 3.10,2400.0,UNKNOWN TO,2450.73,10846964.0,Concrete,3.10,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-22-033-12-08-04.xml,Concrete 3.12.3,2400.0,UNKNOWN TO,2459.64,10846988.0,Concrete,3.12.3,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-22-033-12-08-04.xml,choco-solver 2019-09-20,2400.0,UNKNOWN TO,633.713,15530540.0,choco-solver,2019-09-20,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-22-033-12-08-04.xml,choco-solver 2019-06-14,2400.0,UNKNOWN TO,633.596,15530532.0,choco-solver,2019-06-14,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-22-033-12-08-04.xml,choco-solver 2019-09-16,2400.0,UNKNOWN TO,633.885,15530540.0,choco-solver,2019-09-16,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-22-033-12-08-04.xml,BTD 19.07.01,2400.0,UNKNOWN TO,2520.01,131076.0,BTD,19.07.01,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-22-033-12-08-04.xml,Fun-sCOP hybrid+CryptoMiniSat (2019-06-15),2400.0,UNKNOWN TO,2505.91,15142500.0,Fun-sCOP,hybrid+CryptoMiniSat (2019-06-15),2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-22-033-12-08-04.xml,Fun-sCOP order+GlueMiniSat (2019-06-15),2400.0,UNKNOWN TO,2503.91,15142500.0,Fun-sCOP,order+GlueMiniSat (2019-06-15),2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-22-033-12-08-04.xml,VBS,2400.0,UNKNOWN MO,1392.84,15872532.0,cosoco,2,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-40-052-13-10-03.xml,cosoco 2,2400.0,UNKNOWN MO,1671.21,15872248.0,cosoco,2,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-40-052-13-10-03.xml,AbsCon 2019-07-23,2400.0,UNKNOWN TO,2515.31,10748324.0,AbsCon,2019-07-23,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-40-052-13-10-03.xml,PicatSAT 2019-09-12,2400.0,UNKNOWN TO,2520.01,2355796.0,PicatSAT,2019-09-12,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-40-052-13-10-03.xml,choco-solver 2019-09-24,2400.0,UNKNOWN TO,2514.51,15264284.0,choco-solver,2019-09-24,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-40-052-13-10-03.xml,Concrete 3.10,2400.0,UNKNOWN TO,2448.23,10852316.0,Concrete,3.10,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-40-052-13-10-03.xml,Concrete 3.12.3,2400.0,UNKNOWN TO,2463.06,10846988.0,Concrete,3.12.3,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-40-052-13-10-03.xml,choco-solver 2019-09-20,2400.0,UNKNOWN TO,634.106,15530540.0,choco-solver,2019-09-20,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-40-052-13-10-03.xml,choco-solver 2019-06-14,2400.0,UNKNOWN TO,634.103,15530532.0,choco-solver,2019-06-14,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-40-052-13-10-03.xml,choco-solver 2019-09-16,2400.0,UNKNOWN TO,634.098,15530540.0,choco-solver,2019-09-16,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-40-052-13-10-03.xml,BTD 19.07.01,2400.0,UNKNOWN TO,2520.01,1229616.0,BTD,19.07.01,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-40-052-13-10-03.xml,Fun-sCOP hybrid+CryptoMiniSat (2019-06-15),2400.0,UNKNOWN TO,2499.45,15142500.0,Fun-sCOP,hybrid+CryptoMiniSat (2019-06-15),2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-40-052-13-10-03.xml,Fun-sCOP order+GlueMiniSat (2019-06-15),2400.0,UNKNOWN TO,2498.53,15142500.0,Fun-sCOP,order+GlueMiniSat (2019-06-15),2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-40-052-13-10-03.xml,VBS,2400.0,UNKNOWN MO,1671.21,15872248.0,cosoco,2,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-57-076-20-15-05.xml,cosoco 2,2400.0,UNKNOWN MO,2067.21,15872260.0,cosoco,2,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-57-076-20-15-05.xml,AbsCon 2019-07-23,2400.0,UNKNOWN TO,2514.81,10748324.0,AbsCon,2019-07-23,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-open/Bibd-sum-57-076-20-15-05.xml,PicatSAT 2019-09-12,2400.0,UNKNOWN TO,2520.02,2805828.0,PicatSAT,2019-09-12,2400.0,False,False,False,True,True,False,Bibd
